Processes,Size,Latency
2,2,0.22
2,4,0.13
2,8,0.23
2,16,0.14
2,32,0.14
2,64,0.13
2,128,0.18
2,256,0.19
2,512,0.21
2,1024,0.24
4,2,0.22
4,4,0.23
4,8,0.17
4,16,0.14
4,32,0.13
4,64,0.13
4,128,0.25
4,256,0.25
4,512,0.28
4,1024,0.34
8,2,0.97
8,4,0.95
8,8,0.92
8,16,0.96
8,32,1.01
8,64,1.00
8,128,1.72
8,256,1.49
8,512,1.56
8,1024,1.74
16,2,1.64
16,4,1.52
16,8,1.61
16,16,1.63
16,32,1.79
16,64,1.87
16,128,3.19
16,256,3.23
16,512,14.57
16,1024,3.91
32,2,3.05
32,4,3.23
32,8,3.10
32,16,3.29
32,32,3.33
32,64,3.36
32,128,7.08
32,256,7.19
32,512,7.37
32,1024,8.57
64,2,4.90
64,4,5.17
64,8,5.09
64,16,5.02
64,32,5.82
64,64,6.01
64,128,15.00
64,256,15.52
64,512,15.66
64,1024,17.25
128,2,13.03
128,4,13.58
128,8,13.70
128,16,14.07
128,32,14.92
128,64,14.42
128,128,37.29
128,256,38.81
128,512,38.55
128,1024,41.61
256,2,37.51
256,4,39.29
256,8,38.40
256,16,38.71
256,32,41.35
256,64,42.96
256,128,80.86
256,256,82.37
256,512,105.70
256,1024,95.26
