Processes,Size,Latency
2,2,0.13
2,4,0.13
2,8,0.13
2,16,0.13
2,32,0.15
2,64,0.15
2,128,0.18
2,256,0.18
2,512,0.20
2,1024,0.24
4,2,0.21
4,4,0.21
4,8,0.21
4,16,0.21
4,32,0.22
4,64,0.24
4,128,0.28
4,256,0.30
4,512,0.33
4,1024,0.38
8,2,0.47
8,4,0.46
8,8,0.47
8,16,0.48
8,32,0.53
8,64,0.55
8,128,0.61
8,256,0.70
8,512,0.73
8,1024,0.88
16,2,0.57
16,4,0.51
16,8,0.53
16,16,0.55
16,32,0.61
16,64,0.63
16,128,0.70
16,256,0.78
16,512,0.91
16,1024,1.17
32,2,0.58
32,4,0.58
32,8,0.60
32,16,0.62
32,32,0.67
32,64,0.75
32,128,0.81
32,256,0.89
32,512,1.11
32,1024,1.76
64,2,0.68
64,4,0.72
64,8,0.73
64,16,0.78
64,32,0.96
64,64,1.31
64,128,1.03
64,256,1.51
64,512,1.37
64,1024,1.89
128,2,0.96
128,4,0.96
128,8,1.01
128,16,1.29
128,32,1.08
128,64,1.07
128,128,1.19
128,256,1.37
128,512,1.74
128,1024,2.56
256,2,0.58
256,4,0.61
256,8,0.68
256,16,0.69
256,32,0.72
256,64,0.78
256,128,0.91
256,256,1.11
256,512,1.58
256,1024,2.23
