Processes,Size,Latency
2,2,0.46
2,4,0.51
2,8,0.44
2,16,0.30
2,32,0.31
2,64,0.30
2,128,0.35
2,256,0.35
2,512,0.39
2,1024,0.39
4,2,0.73
4,4,0.63
4,8,0.62
4,16,0.62
4,32,0.63
4,64,0.64
4,128,0.75
4,256,0.76
4,512,0.80
4,1024,0.86
8,2,2.21
8,4,2.21
8,8,2.21
8,16,2.23
8,32,2.33
8,64,2.32
8,128,2.57
8,256,2.60
8,512,2.75
8,1024,3.00
16,2,5.08
16,4,5.11
16,8,5.06
16,16,5.13
16,32,5.52
16,64,5.49
16,128,6.27
16,256,6.33
16,512,6.58
16,1024,7.59
32,2,11.65
32,4,12.52
32,8,11.63
32,16,11.70
32,32,12.68
32,64,12.54
32,128,16.09
32,256,16.21
32,512,16.39
32,1024,18.80
64,2,27.29
64,4,27.21
64,8,27.28
64,16,27.50
64,32,29.61
64,64,29.28
64,128,37.75
64,256,38.09
64,512,38.76
64,1024,44.21
128,2,68.52
128,4,68.76
128,8,69.02
128,16,68.81
128,32,75.75
128,64,74.83
128,128,97.20
128,256,100.74
128,512,108.03
128,1024,128.00
256,2,278.47
256,4,279.21
256,8,279.12
256,16,277.83
256,32,308.09
256,64,288.73
256,128,330.79
256,256,356.96
256,512,367.14
256,1024,444.03
