Processes,Size,Latency
2,2,0.25
2,4,0.27
2,8,0.20
2,16,0.15
2,32,0.25
2,64,0.16
2,128,0.20
2,256,0.20
2,512,0.22
2,1024,0.24
4,2,0.19
4,4,0.27
4,8,0.18
4,16,0.18
4,32,0.17
4,64,0.18
4,128,0.31
4,256,0.28
4,512,0.33
4,1024,0.36
8,2,0.82
8,4,0.83
8,8,0.84
8,16,0.84
8,32,0.97
8,64,
8,128,1.24
8,256,1.33
8,512,1.36
8,1024,1.63
16,2,1.30
16,4,1.16
16,8,1.12
16,16,1.14
16,32,1.42
16,64,1.29
16,128,2.08
16,256,2.12
16,512,2.26
16,1024,2.56
32,2,1.76
32,4,1.74
32,8,1.74
32,16,1.75
32,32,1.96
32,64,1.98
32,128,3.05
32,256,3.12
32,512,3.22
32,1024,3.86
64,2,2.27
64,4,2.13
64,8,2.17
64,16,2.14
64,32,2.67
64,64,2.69
64,128,3.78
64,256,4.07
64,512,4.22
64,1024,4.85
128,2,3.49
128,4,3.48
128,8,3.50
128,16,3.71
128,32,3.90
128,64,3.88
128,128,5.93
128,256,6.14
128,512,6.00
128,1024,6.57
256,2,5.39
256,4,5.47
256,8,5.45
256,16,5.44
256,32,6.22
256,64,6.20
256,128,7.41
256,256,7.74
256,512,21.38
256,1024,22.81
