cores,threads,width,height,time
160,1,12649,12649,160 total processes failed to start
161,1,12688,12688,161 total processes failed to start
162,1,12727,12727,162 total processes failed to start
163,1,12767,12767,163 total processes failed to start
164,1,12806,12806,164 total processes failed to start
165,1,12845,12845,165 total processes failed to start
166,1,12884,12884,166 total processes failed to start
167,1,12922,12922,167 total processes failed to start
168,1,12961,12961,168 total processes failed to start
169,1,13000,13000,169 total processes failed to start
170,1,13038,13038,170 total processes failed to start
171,1,13076,13076,171 total processes failed to start
172,1,13114,13114,172 total processes failed to start
173,1,13152,13152,173 total processes failed to start
174,1,13190,13190,174 total processes failed to start
175,1,13228,13228,175 total processes failed to start
176,1,13266,13266,176 total processes failed to start
177,1,13304,13304,177 total processes failed to start
178,1,13341,13341,178 total processes failed to start
179,1,13379,13379,179 total processes failed to start
180,1,13416,13416,180 total processes failed to start
181,1,13453,13453,181 total processes failed to start
182,1,13490,13490,182 total processes failed to start
183,1,13527,13527,183 total processes failed to start
184,1,13564,13564,184 total processes failed to start
185,1,13601,13601,185 total processes failed to start
186,1,13638,13638,186 total processes failed to start
187,1,13674,13674,187 total processes failed to start
188,1,13711,13711,188 total processes failed to start
189,1,13747,13747,189 total processes failed to start
190,1,13784,13784,190 total processes failed to start
191,1,13820,13820,191 total processes failed to start
192,1,13856,13856,192 total processes failed to start
193,1,13892,13892,193 total processes failed to start
194,1,13928,13928,194 total processes failed to start
195,1,13964,13964,195 total processes failed to start
196,1,14000,14000,196 total processes failed to start
197,1,14035,14035,197 total processes failed to start
198,1,14071,14071,198 total processes failed to start
199,1,14106,14106,199 total processes failed to start
200,1,14142,14142,200 total processes failed to start
201,1,14177,14177,201 total processes failed to start
202,1,14212,14212,202 total processes failed to start
203,1,14247,14247,203 total processes failed to start
204,1,14282,14282,204 total processes failed to start
205,1,14317,14317,205 total processes failed to start
206,1,14352,14352,206 total processes failed to start
207,1,14387,14387,207 total processes failed to start
208,1,14422,14422,208 total processes failed to start
209,1,14456,14456,209 total processes failed to start
210,1,14491,14491,210 total processes failed to start
211,1,14525,14525,211 total processes failed to start
212,1,14560,14560,212 total processes failed to start
213,1,14594,14594,213 total processes failed to start
214,1,14628,14628,214 total processes failed to start
215,1,14662,14662,215 total processes failed to start
216,1,14696,14696,216 total processes failed to start
217,1,14730,14730,217 total processes failed to start
218,1,14764,14764,218 total processes failed to start
219,1,14798,14798,219 total processes failed to start
220,1,14832,14832,220 total processes failed to start
221,1,14866,14866,221 total processes failed to start
222,1,14899,14899,222 total processes failed to start
