cores,threads,width,height,time
213,1,14594,14594,2.317492
214,1,14628,14628,1.933257
215,1,14662,14662,2.898213
216,1,14696,14696,1.929447
217,1,14730,14730,1.939536
218,1,14764,14764,1.944251
219,1,14798,14798,1.932799
220,1,14832,14832,1.931014
221,1,14866,14866,1.943821
222,1,14899,14899,1.972226
223,1,14933,14933,1.971479
224,1,14966,14966,1.948874
225,1,15000,15000,1.955182
226,1,15033,15033,2.334788
227,1,15066,15066,1.943271
228,1,15099,15099,3.089643
229,1,15132,15132,1.944616
230,1,15165,15165,1.941011
231,1,15198,15198,1.945530
232,1,15231,15231,1.980368
233,1,15264,15264,1.931135
234,1,15297,15297,1.952529
235,1,15329,15329,1.976787
236,1,15362,15362,1.947145
237,1,15394,15394,1.958372
238,1,15427,15427,2.019180
239,1,15459,15459,2.118348
240,1,15491,15491,2.274187
241,1,15524,15524,1.949328
242,1,15556,15556,1.956908
243,1,15588,15588,1.964031
244,1,15620,15620,1.972658
245,1,15652,15652,1.990226
246,1,15684,15684,1.965265
247,1,15716,15716,2.003684
248,1,15748,15748,1.968415
249,1,15779,15779,1.988454
250,1,15811,15811,1.989985
251,1,15842,15842,1.969383
252,1,15874,15874,1.965894
253,1,15905,15905,2.036087
254,1,15937,15937,2.177757
255,1,15968,15968,1.976652
256,1,16000,16000,2.007771
